"","X","x"
"1",1,"https://www.cancer.org/toolbarArea"
"2",4,"tel:800.227.2345"
"3",5,"https://livechat.boldchat.com/aid/5386287375352862963/bc.chat?resize=true&cwdid=1134019502191338137"
"4",7,"https://www.cancer.org/latest-news.html"
"5",9,"https://www.cancer.org/es/"
"6",10,"https://www.cancer.org/cancer-information-in-other-languages.html"
"7",11,"https://donate.cancer.org/index?lang=en"
"8",12,"https://donate.cancer.org/index?lang=en"
"9",13,"https://www.cancer.org/cancer.html"
"10",14,"https://www.cancer.org/healthy.html"
"11",15,"https://www.cancer.org/treatment.html"
"12",16,"https://www.cancer.org/research.html"
"13",17,"https://www.cancer.org/involved.html"
"14",18,"https://www.cancer.org/our-partners.html"
"15",19,"https://www.cancer.org/about-us.html"
"16",20,"https://www.cancer.org/latest-news.html"
"17",21,"https://donate.cancer.org/index?lang=en"
"18",22,"https://livechat.boldchat.com/aid/5386287375352862963/bc.chat?resize=true&cwdid=1134019502191338137"
"19",23,"tel:800.227.2345"
"20",25,"https://donate.cancer.org/?campaign=EOYCampaign2018&lang=en"
"21",26,"https://www.cancer.org/latest-news.html"
"22",27,"https://www.cancer.org/latest-news/nurture-your-emotional-health.html"
"23",28,"https://www.cancer.org/latest-news/can-coffee-lower-cancer-risk.html"
"24",29,"https://www.cancer.org/our-brand.html"
"25",30,"https://donate3.cancer.org/?campaign=CY17MemPod&giftType=mem&giftTypeMonthlyDisplay=0"
"26",31,"https://www.cancer.org/our-brand.html"
"27",32,"https://www.cancer.org/cancer.html"
"28",33,"https://www.cancer.org/treatment.html"
"29",34,"https://www.cancer.org/healthy.html"
"30",35,"https://www.cancer.org/research.html"
"31",36,"https://www.cancer.org/involved/volunteer/volunteer-stories.html"
"32",37,"https://www.cancer.org/about-us.html"
"33",38,"https://www.cancer.org/treatment/support-programs-and-services/road-to-recovery.html"
"34",39,"https://www.cancer.org/about-us/what-we-do/providing-support.html"
"35",40,"https://www.cancer.org/treatment/support-programs-and-services/patient-lodging/hope-lodge.html"
"36",46,"https://www.cancer.org/involved/fundraise/relay-for-life.html"
"37",47,"https://www.cancer.org/involved/fundraise/relay-for-life.html"
"38",48,"https://www.cancer.org/involved/fundraise/making-strides-against-breast-cancer.html"
"39",49,"https://www.cancer.org/involved/fundraise/making-strides-against-breast-cancer.html"
"40",50,"https://www.cancer.org/involved/volunteer.html"
"41",51,"https://www.cancer.org/involved/volunteer.html"
"42",52,"https://www.cancer.org/research.html"
"43",53,"https://www.cancer.org/research.html"
"44",54,"https://www.cancer.org/research.html"
"45",55,"https://www.cancer.org/treatment/support-programs-and-services/road-to-recovery.html"
"46",56,"https://www.cancer.org/healthy/more-ways-acs-helps-you-stay-well.html"
"47",57,"https://www.cancer.org/healthy/more-ways-acs-helps-you-stay-well.html"
"48",58,"https://www.cancer.org/health-care-professionals/community-health.html"
"49",59,"https://www.cancer.org/health-care-professionals/community-health.html"
"50",60,"https://www.cancer.org/health-care-professionals/community-health.html"
"51",61,"https://www.cancer.org/about-us/who-we-are/our-history.html"
"52",62,"https://www.cancer.org/about-us/who-we-are/our-history.html"
"53",63,"https://www.cancer.org/about-us/who-we-are/our-history.html"
"54",64,"https://www.cancer.org/about-us/policies/privacy-statement.html"
"55",65,"https://donate3.cancer.org/?lang=en"
"56",66,"https://www.cancer.org/healthy.html"
"57",67,"https://www.cancer.org/cancer/cancer-basics.html"
"58",68,"https://www.cancer.org/cancer/cancer-basics/signs-and-symptoms-of-cancer.html"
